id	name	rarity
102001	ＷＡＣＣＡ　ＬＯＧＯ	1
102002	ＷＡＣＣＡ　コンソール	1
102004	Rainbow Dream	1
102005	Knight Rider	1
102006	Poseidon	1
102007	PARALLEL★PRISM	1
102008	MEMORiZE	1
102009	illanai-assorted	1
102010	Soldiers	1
102011	Fight for the CORE feat. Daisuke	1
102013	Let you DIVE!	2
102014	LEVATEiN feat. 野宮あゆみ	2
102015	BIG HEAD BANGING	2
102016	Quon	2
102017	HELL FLAME	2
102018	Gate One	2
102019	Are You Ready	2
102020	Over My Hand	2
102021	Exitium	2
102023	ＳＴＡＲ	1
102024	ＵｎＬｏｃｋｅｒ	2
102025	Ｆｅａｔｈｅｒ	2
102026	あいつ	2
102027	エリザベス	2
102028	般若	3
102029	Ｇｅａｒ	3
102030	Ｐｕｌｓｅ	3
102047	えりざべす	4
102048	うぇるかむ　とぅ　へぶん	4
102049	かれ～なてさばき	4
102050	ＴＡＮＯ＊Ｃ	2
102051	放置プレイ	4
102052	いあつ	4
102053	ドヤ猫	3
102054	しょんぼり犬	3
102055	『輪』	2
102056	ATARAX1A	2
102057	13 Donkeys	2
102058	Invisible Frenzy	2
102059	ADAM	2
102060	Chariot	2
102061	ぼくの夢、メチャクソ無限湧き	2
102062	HiGHER	2
102063	GRiDGALAXY	2
102064	BOOM! BOOM!! BOOM!!!	2
102065	Sound Chimera	2
102066	Sunshine	2
102067	ドロシー	3
102068	霊夢	2
102069	魔理沙	2
102070	キズナアイ	2
102071	キズナアイ(A.I.Games)	2
102072	キズナアイ(ドヤっ)	3
102073	JINGLE DEATH	2
102074	振袖エリザベス	2
102076	バッジ	2
102077	エンブレム	2
102078	ステージアップ『I』 制覇	1
102079	ステージアップ『II』 制覇	1
102080	ステージアップ『III』 制覇	1
102081	ステージアップ『IV』 制覇	1
102082	ステージアップ『V』 制覇	2
102083	ステージアップ『VI』 制覇	2
102084	ステージアップ『VII』 制覇	2
102085	ステージアップ『VIII』 制覇	2
102086	ステージアップ『IX』 制覇	3
102087	ステージアップ『X』 制覇	3
102088	ステージアップ『XI』 制覇	3
102089	ステージアップ『XII』 制覇	3
102090	ステージアップ『XIII』 制覇	4
102091	ステージアップ『XⅣ』 制覇	4
102092	ときのそら	2
102093	ＡＺＫｉ	2
102094	ときのそら（live edition)	3
102095	ＡＺＫｉ（live edition)	3
102096	あいつ（REDALiCE ver)	3
102097	Murasaki	2
102098	Mazy Metroplex	2
102099	早苗	2
102100	リンカ	2
102101	ユメ	2
102102	セイネ	2
102103	リンカ ＥＸ	2
102104	ユメ ＥＸ	2
102105	セイネ ＥＸ	2
102106	ＧＣ ＣＲＡＢ	3
102107	Brain Power	2
102108	桜ノ宮苺香	2
102109	日向夏帆	2
102110	星川麻冬	2
102111	天野美雨	2
102112	神崎ひでり	2
102113	秋月紅葉	2
102114	ディーノ	2
102115	ＤORO*Ｃ	2
102116	IRRENA	2
102118	Metamorphose	2
102119	MAGiC4LG1RL M3GA S7R1KE!	2
102120	METEOR BURST	2
102121	XTREME	2
102122	天使光輪	2
202001	with U	2
202002	SUPER REACTOR	2
202003	ONOMATO Pairing!!!	2
202004	GENOCIDER	2
202005	エンジョイ勢	1
202006	ガチ勢	3
202007	神	3
202008	I ◎ WACCA	2
202009	リリィ	2
202010	INFERNO	4
202011	クラウン	4
202012	ブーケ	3
202014	あきれ	2
202015	うちゅうのしんり	2
202016	もえつきた	2
202017	のびしろ	2
202018	たいくつ	2
202019	ばくはつ	2
202020	どらみんぐ	2
202021	じこしゅちょう	2
202022	おやつ	2
202023	オエー	2
202024	ワッ顔リシーズ｢標準｣	1
202025	ワッ顔リシーズ｢絶望｣	1
202026	ワッ顔リシーズ｢焦り｣	1
202027	ワッ顔リシーズ｢ス〇イリー｣	1
202028	ワッ顔リシーズ｢やられた｣	1
202029	ワッ顔リシーズ｢美味｣	1
202030	ワッ顔リシーズ｢キマり｣	1
202031	ワッ顔リシーズ｢考察｣	1
202032	ワッ顔リシーズ｢天へ｣	1
202033	ワッ顔リシーズ｢真顔｣	1
202034	ワッ顔リシーズ｢よだれ｣	1
202035	ワッ顔リシーズ｢グラサン｣	1
202036	ワッ顔リシーズ｢愉悦｣	1
202037	ワッ顔リシーズ｢白目｣	1
202038	妹	4
202039	彩瀬なる	2
202040	福原あん	2
202041	涼野いと	2
202042	真中らぁら	2
202043	南みれぃ	2
202044	北条そふぃ	2
202045	桃山みらい	2
202046	萌黄えも	2
202047	青葉りんか	2
202048	ベル・クラネル	2
202049	ヘスティア	2
202050	ヴェルフ・クロッゾ	2
202051	リリルカ・アーデ	2
202052	ヤマト・命	2
202053	サンジョウノ・春姫	2
202054	アイズ・ヴァレンシュタイン	2
202055	兎田ぺこら	2
202056	さくらみこ	2
202057	白上フブキ	2
202058	星街すいせい	2
202059	パニックポップ☆フェスティバル!!!	2
202060	エリザベス（Dot）	2
202061	リリィ（Dot）	2
202062	はげしこの夜 -Psylent Crazy Night-	2
202063	ユニコーン	2
202064	Liberate	2
202065	Animosity	2
202066	Big Bang	2
202067	萌	2
202068	君WACCAうまいねぇ	2
202069	こんせき	2
202070	しんげき	2
202071	無名	2
202072	リズム	2
202073	渦	2
202074	トライアングル	2
202075	目玉焼き	2
202076	双子焼き	2
202077	わかば	2
202078	みっちゃく	3
202079	れっちゅーらいぶ！	2
202080	SHAKE!	2
202081	DUAL BREAKER XX	2
202082	リツモ	2
202083	フィシカ	2
202084	ネロ	2
202085	ロッサ	2
202086	ゴリラ	2
202087	レミリア・スカーレット	2
202088	フランドール・スカーレット	2
202089	愛本りんく	2
202090	明石真秀	2
202091	大鳴門むに	2
202092	渡月麗	2
202093	山手響子	2
202094	犬寄しのぶ	2
202095	笹子･ジェニファー･由香	2
